,company,job title,location,job description,salary estimate,company_size,company_type,company_sector,company_industry,company_founded,company_revenue
271,BoldTek India Private Limited,Jr. Data Scientist/ ML Engineer,Guwahati,"Jr. Data Scientist/ ML Engineer
Skill Requirements
0-1 year of experience as a Data Scientist/ML Engineer
Hands-on development experience using Python and various libraries related to data science/analytics framework, and Text/String processing libraries
Knowledge of R, SQL, Python, API; familiarity with Scala, Java or C# is an asset
Experience in various machine learning libraries- Tensor Flow, scikit-learn, PyTorch, ML.NET etc
Experience using business intelligence tools (e.g. Tableau) and data frameworks (e.g. Hadoop/Spark)
Knowledge of a variety of machine learning techniques (clustering, decision tree learning, artificial neural networks, etc.)
Knowledge of model deployment and Cloud service such as AWS, Azure, GCP etc.
Strong practical experience in understanding business process, capturing complex client business requirements, develop and propose architecture/designs to clients, develop detail features/requirements and perform development/test
Problem-solving aptitude with analytical mind and business acumen
Strong in verbal and written communication
Job Responsibilities
Responsible to understand existing solution architecture/framework, ability to work with clients around the globe to develop new requirement
Propose solutions and strategies to business challenges
Identify valuable data sources and automate data collection processes
Undertake preprocessing of structured and unstructured data to discover trends and patterns
Build custom predictive models and machine-learning algorithms
Deploy ML model and solution on cloud/local server
May require some travels (domestic, international)
Qualifications
A Degree in computer science engineering, or equivalent technical degree
Any Data science certification will be a plus
Nice to have
Working experience in development projects and maintaining relationship with international clients
Working experience in Agile application development methodology
Job Types: Full-time, Fresher
Salary: ₹20,000.00 - ₹25,000.00 per month
Benefits:
Health insurance
Paid sick time
Paid time off
Provident Fund
Schedule:
Monday to Friday
Supplemental pay types:
Yearly bonus
Experience:
total work: 1 year (Preferred)
Show Less
Report","₹22,500 /mo (est.)",#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
272,Centre For Translational Cancer Research -Prashanti Cancer Care Mission,Junior Data Scientist (Breast Cancer Clinical Data),Pune,"Job Description: Junior Data Scientist (Breast Cancer Clinical Data)
We at PCCM-CTCR are looking for the following candidate to join our Data Team to evolve the existing system and design the needed schema for research and medical-related data.
Responsibilities:
Knowledge of different information types and domains and aptitude to understand domains in the clinical field.
Some familiarity with GUI design and implementation and comfort with python is preferred.
Good communication skills and ability to work independently
Clinical Data entry, management and curation
Clinical Data record keeping
General project Administration and Reporting
Understanding and analysis of clinical metadata sheets.
You may also be required to contribute to various other verticals as needed.
Culture:
Applicant must own his/her work
Precision and diligence is a prerequisite
No compromise with our core values
The position is based in Pune city
This is a full time position
Work from home option is not available for this position.
6 days a week 10:00 am to 6:00 pm
Research Centre Profile:
Prashanti Cancer Care Mission, Pune has a growing Breast Cancer Research department. In a powerful model of public-private partnership, IISER Pune and Prashanti Cancer Care Mission established the Center for Translational Cancer Research (CTCR). CTCR aims to bring together clinicians and researchers to integrate breast cancer research, training, and education. This Centre is a first-of-its-kind initiative in India with world-class infrastructure and facilities for multidisciplinary training in translational cancer research. We anticipate that the activities of the Centre will have a direct positive impact on the national capacity for translational cancer research and, most importantly, on effective management of cancer in India. CTCR is the leading member in the formation of ICGA foundation. ICGA aims to build teams for multi-omics studies in Indian cancers. CTCR also has a valuable association with Persistent Systems and is initiated with a seed grant from Bajaj Auto
Job Type: Full-time
Salary: ₹25,000.00 - ₹35,000.00 per month
Benefits:
Health insurance
Schedule:
Day shift
COVID-19 considerations:
Yes
Application Question(s):
List experience or degree in Biological Sciences
Experience:
total work: 2 years (Required)
Show Less
Report","₹30,000 /mo (est.)",#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
273,LeadIndia Manpower Services,"Fresher Data Analyst , Data Science , SQL , Python",Hassan,"Key skills :

Advanced Excel, word, PDF skills

Ability to work quickly manipulating and analyzing data

Ideally from a STEM background

Genuine interest in Data and Artificial intelligence

Python, C++ or VBA or SQL server experience is beneficial

Keen interest in automation artificial intelligence or data science essentially.

0-2 years experience

Until the Covid situation settles Work location is going to be remote .

Candidates must have ability to work from home and also in a position to use their personal laptop during this period.

Industry type
IT Services & Consulting
Functional area
Data Science & Analytics
Role
Data Analyst
Role category
Business Intelligence & Analytics
Employment type
Full Time, Permanent
Education
B.Tech/B.E. in Any Specialization, B.Sc in Any Specialization, BCA in Any Specialization
Any Postgraduate
Doctorate Not Required...
Experience
0 - 4 Years

Salary
3 Lac 50 Thousand To 5 Lac 50 Thousand P.A.

Industry
IT Hardware / Technical Support / Telecom Engineering

Qualification
Higher Secondary, Secondary School, Diploma, Advanced/Higher Diploma, Professional Degree, Other Bachelor Degree, B.C.A, B.Com, B.Sc, B.Tech/B.E

Key Skills
Data Analyst Data Specialist Data Scientist SQL Developer Python Developer IT Analyst


About Company
Contact Person
Ashish Ranjan

Address
12F

Mobile
9142736610

Email ID
hrashish@leadindia.info
Show Less
Report","₹4,50,000 /yr (est.)",#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
274,Elvira technologies,Data science,Gurgaon,"Job Description
ProfileJob Description
Profile: Senior-Level Data Engineer with 5+ years of experience (Geospatial expertise/experience is a plus)
Qualifications:
Base Technical Skills: Expertise with a programing language (Python preferred) mainly in Azure cloud computing environment.
Expertise in creating ETL pipelines, CI/CD and automation from various external public data sources
Expertise in managing large volumes of digital geo-information that can be stored, manipulated, visualized, analyzed, and shared.
Preferred Technical Skills: Expertise in geospatial libraries (e.g. Shapely, Fiona, Rasterio, GeoPandandas etc.)
Experience in Arcpy and integrating with cloud computing
Core focus involves application of managing geoinformation using Geographic Information System (GIS) tools Remote Sensing, big data acquisition and cloud computing.
Skills and Knowledge: Excellent oral and written communication skills
Education: Bachelor’s/Master’s degree with a major in engineering (major: image processing) data science, computer science or a related quantitative field.Job Description
Profile: Senior-Level Data Engineer with 5+ years of experience (Geospatial expertise/experience is a plus)
Qualifications:
Base Technical Skills: Expertise with a programing language (Python preferred) mainly in Azure cloud computing environment.
Expertise in creating ETL pipelines, CI/CD and automation from various external public data sources
Expertise in managing large volumes of digital geo-information that can be stored, manipulated, visualized, analyzed, and shared.
Preferred Technical Skills: Expertise in geospatial libraries (e.g. Shapely, Fiona, Rasterio, GeoPandandas etc.)
Experience in Arcpy and integrating with cloud computing
Core focus involves application of managing geoinformation using Geographic Information System (GIS) tools Remote Sensing, big data acquisition and cloud computing.
Skills and Knowledge: Excellent oral and written communication skills
Education: Bachelor’s/Master’s degree with a major in engineering (major: image processing) data science, computer science or a related quantitative field.Job Description
Profile: Senior-Level Data Engineer with 5+ years of experience (Geospatial expertise/experience is a plus)
Qualifications:
Base Technical Skills: Expertise with a programing language (Python preferred) mainly in Azure cloud computing environment.
Expertise in creating ETL pipelines, CI/CD and automation from various external public data sources
Expertise in managing large volumes of digital geo-information that can be stored, manipulated, visualized, analyzed, and shared.
Preferred Technical Skills: Expertise in geospatial libraries (e.g. Shapely, Fiona, Rasterio, GeoPandandas etc.)
Experience in Arcpy and integrating with cloud computing
Core focus involves application of managing geoinformation using Geographic Information System (GIS) tools Remote Sensing, big data acquisition and cloud computing.
Skills and Knowledge: Excellent oral and written communication skills
Education: Bachelor’s/Master’s degree with a major in engineering (major: image processing) data science, computer science or a related quantitative field.-Level Data Engineer with 5+ years of experience (Geospatial expertise/experience is a plus)
Qualifications:
Base Technical Skills: Expertise with a programing language (Python preferred) mainly in Azure cloud computing environment.
Expertise in creating ETL pipelines, CI/CD and automation from various external public data sources
Expertise in managing large volumes of digital geo-information that can be stored, manipulated, visualized, analyzed, and shared.
Preferred Technical Skills: Expertise in geospatial libraries (e.g. Shapely, Fiona, Rasterio, GeoPandandas etc.)
Experience in Arcpy and integrating with cloud computing
Core focus involves application of managing geoinformation using Geographic Information System (GIS) tools Remote Sensing, big data acquisition and cloud computing.
Skills and Knowledge: Excellent oral and written communication skills
Education: Bachelor’s/Master’s degree with a major in engineering (major: image processing) data science, computer science or a related quantitative field.
Job Type: Full-time
Salary: ₹500,000.00 - ₹700,000.00 per year
Schedule:
Monday to Friday
COVID-19 considerations:
no
Experience:
5yrs: 1 year (Preferred)
Work Location: One location
Show Less
Report","₹6,00,000 /yr (est.)",#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
275,"Eve World Platform
4.5",Python Machine Learning Engineer,Remote,"ABOUT EVE WORLD
Eve World is a deep tech social media, community & e-commerce mobile super app; web3, DAO, Blockchain based, bridging the gap in providing freedom in the virtual world through relatable multi-format, entertaining content, creator and community tools.
THE ROLE
You will be working on our highly sophisticated web3.0 social commerce platform, contributing to our backend recommendations system which provide user recommendations to the user on the coto app.
The system will take multiple data sources to build user level recommended content, based on location, content consuming history, age and other parameters.
To build these features you must have experience in Machine Learning algorithms.
TO BE SUCCESSFUL YOU MUST HAVE:
Experience in building Realtime Content Recommendation Systems using Python and Machine Learning.
Experience in building backend API using some of the following technologies
boto3
confluent-Kafka
Flask
pandas
pymongo
PyMySQL
redis
redispy
This is a unique opportunity to join a fast growing start-up at the early stages where you will grow with the product and see your work scale globally. Don’t hesitate to contact us today
Job Type: Full-time
Salary: ₹190,000.00 - ₹230,000.00 per month
Benefits:
Flexible schedule
Paid sick time
Paid time off
Work from home
Schedule:
Day shift
Monday to Friday
Show Less
Report","$2,10,000 /mo (est.)",51 to 200 Employees,Company - Private,Information Technology,Software Development,2021,Unknown / Non-Applicable
276,"OptiSol Business Solutions Pvt Ltd
4.5",Machine Learning Engineer,Coimbatore,"Experience: 3 to 5 years
Salary Range: 8 to 15LPA
“We are a tribe of happy people obsessed with customer success “
Sample our work culture at Life at OptiSol Portal https://culture.optisolbusiness.com
Mandatory Skills Sets: Machine Learning | Deep Learning | Artificial Intelligence| Computer Vision | Python| NOSQL
Key roles&Responsibilities
In depth knowledge of Python and its data analysis and machine learning packages like Scikit Learn, OpenCV, TensorFlow, Keras, PyTorch etc.
Hands-on Experience in Data analysis methodology from exploratory data analysis, feature engineering, model selection, deployment of the model at scale and model evaluation
Strong problem-solving skills and proficient understanding of data structures, and algorithms.
Prior exposure to cloud platforms (preferable AWS) to deploy data pipelines and to use AWS tools/services like AWS SageMaker, Kinesis, MLFlow etc.,
Ability to lead requirements sessions with clients and project teams related to Machine learning and Deep learning.
Work with developers, product managers, business managers and designers to build statistical models for presenting to client or management people.
Hands- on experience of SQL databases such as MySQL, MariaDB, Oracle, PostgreSQL. (Anyone)
Hands- on experience with NoSQL databases such as HBase, Cassandra, Cosmos DB, DynamoDB, MongoDB (Anyone)
Proficient understanding of code versioning tools, such as Git/Bitbucket.
Ability to inspire team at all levels through his/her communication and promote an environment of open communication
Perks & Benefits:
Career Development
Learning & Development program
Best Salary in Industry
Heath & Medical Insurance (Group Medical Coverage)
Flexitime, Work-at-Home & Hybrid Options
Work/life balance
Team Lunch, Employee engagement & Team Outing
Employee recognition and reward programs
Job Type: Full-time
Salary: ₹800,000.00 - ₹1,500,000.00 per year
Benefits:
Flexible schedule
Health insurance
Internet reimbursement
Life insurance
Paid sick time
Provident Fund
Work from home
Schedule:
Day shift
Ability to commute/relocate:
Coimbatore, Tamil Nadu: Reliably commute or planning to relocate before starting work (Required)
Experience:
total work: 3 years (Preferred)
Speak with the employer
+91 9940775556
Show Less
Report","₹11,50,000 /yr (est.)",201 to 500 Employees,Company - Private,Information Technology,Information Technology Support Services,2007,$5 to $25 million (USD)
277,Hire Me Technology Limited,Computer Vision / Machine Learning Engineer (Remote),New Delhi,"We are looking for excellent Computer Vision engineers who can take initiatives, design, and develop advanced machine learning solutions, and deploy them directly to the given platform. A talented machine learning engineer with expertise in computer vision and can apply different kinds of machine learning models to a diverse range of exciting and impactful client projects especially human detection, face tracking and augmented reality with human face, and augmented reality in Indoor/Outdoor environment. To be successful in this role, you need a strong machine learning experience with Computer Vision background, experience in deploying models to the cloud such as AWS, solid software development skills and docker, a love of learning, and to collaborate well in multi-disciplinary teams.
A successful candidate will take pride in working with engineers, product managers and business partners to identity and solve the most challenging safety and integrity problems in the internet scale. Candidate will conduct research on deep learning for application processors and multimedia processors with applications such as computer vision, or image and video processing. Candidate will work as part of a team on the system design, implementation, and verification of algorithms for application processors and multimedia processors. As a member of the team, you will develop innovative and sophisticated solutions to some of the most complex strategic business challenges. You will need to exhibit strong communication and leadership skills, an ability to set priorities, and an execution focus in a dynamic environment.
⃟Lead to build the trust and safety machine learning production models.
⃟Work on image classifiers, face detection and tracking, augmented reality, object detectors, video understanding models, multi-modal classifiers, human behavior and expression classification, face identification, and eyes tracking, , etc.
⃟Work with engineering teams to implement model pipeline and deploy the services with training automation.
⃟Collaborate with product teams to define objectives and improve trust and safety strategy.
⃟Collaborate with data analysts to understand and find data patterns.
⃟MS/PhD degree with 2+ years' relevant experience.
⃟Hands on experience in one or more of the areas for still images and videos processes.
⃟Good programming skills in Python and similar languages, and a deep understanding of data structures and algorithms.
⃟Good communication and teamwork skills, be passionate about learning new techniques and taking on challenging problems.
⃟Experience with Cloud platforms such as AWS, Azure, Google Cloud Platform (GCP).
⃟Excellent problem solving and analytical skills
⃟Excellent communication and collaboration skills with strong verbal and written skills.
⃟Passion for delivering business impact
Good to have:
⃟Experience in trust and safety machine learning models.
⃟Publications in top conferences.
⃟Experience in using Deep Learning, Bandits, Probabilistic Graphical Models, or Reinforcement Learning in real applications.
⃟Experience and good understanding of the math behind machine learning classification and regression algorithms.
Job Types: Full-time, Regular / Permanent
Schedule:
Day shift
Morning shift
Experience:
Computer vision: 2 years (Preferred)
Show Less
Report","₹4,09,878 /yr (est.)",Unknown,Company - Public,#N/A,#N/A,#N/A,Unknown / Non-Applicable
278,DeployAD.Inc,Machine Learning Engineer,Nilambūr,"Urgently Require Machine Learning Engineer.
Requirements: -
Graduate ( Preferably Science/ Computer Science/ Electronic and Engineering/ Information Technology)
5 years of industry experience and 1 year of Experience in teaching.
Strong understanding of theory and practice in Machine Learning and AI
Proven ability to communicate technical knowledge to students.
Job Types: Full-time, Regular / Permanent
Salary: ₹30,000.00 - ₹35,000.00 per month
Schedule:
Day shift
Speak with the employer
+91 8139074545
Show Less
Report","₹32,500 /mo (est.)",#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
279,"A for Analytics IT Solutions
3.7",Machine Learning Specialist (Data Scientist),Chennai,"Full Job Description
‘A for Analytics’ is looking to hire a Data Scientist. A for Analytics is the leading global system Integrator for the last several years in the global Market, offering Business Intelligence, Data Engineering, Artificial Intelligence and ZOHO services to customers. A for Analytics helps customers in Advisory, Solution Delivery, 24/7 Technical Support and Fully Managed Services.
As a Data Scientist, you will apply your strategic and analytical skills to major company challenges. You will team with world-class professionals to identify actionable insights that ultimately impact the bottom line. We work in a space that looks deeply into emerging fraud trends and the business enablement opportunities that help the business in fuelling growth and strategic decisions. You will be able do it all in a collaborative environment that values your insight, encourages you to take on new responsibility, promotes continuous learning, and rewards innovation with a global team that is multi-disciplinary with broad spectrum of industry experiences, deep analytical and quantitative expertise.
Responsibilities
Develop production-ready implementations of proposed solutions across different ML and DL algorithms, including testing on live customer data to improve efficacy, and robustness
Work closely with other functional teams to integrate implemented systems into the SaaS platform
Create use cases with respect to domain for solving a business problem.
Research and test novel machine learning approaches for analyzing large-scale distributed computing applications.
Suggest innovative and creative concepts and ideas that would improve the overall platform
Strong understanding of the most recent trends around telecom industry and adoption.
Requirements
Extensive experience handling data analytics in the telecom industry or on telecom products.
Exposure or Experience in building Recommendation engine in a large scale.
In-depth working knowledge beyond coursework, familiarity with statistical techniques and current ML techniques, both supervised and unsupervised learning techniques and other ML Techniques.
Experience on end to end ML models deployment in production.
Experience in working on modeling graph structures related to spatiotemporal systems.
Keras, TensorFlow,PyTorch. And knowledge of Big Data tools and environment.
Implementation experiences and deep knowledge of Classification, Time Series Analysis, Pattern Recognition, Reinforcement Learning, Deep Learning, Dynamic Programming and Optimization.
Knowledge of MySQL/No SQL is an added advantage.
Required Qualifications
· 3 – 4 years’ experience in analytics or program management
· 3 – 4 Proficiency using SQL and querying relational databases
· 3 - 4Experience in at least one statistical programming language (SAS, R, Python)
· 3 years experience with project/program management
Experience : At least 3years
Salary : Rs. 10,00,000.00 – Rs. 15,00,000.00 per year
Benefits:
Flexible schedule
Internet reimbursement
Leave encashment
Provident Fund
Health Insurance
Job Type: Full-time
Salary: ₹1,000,000.00 - ₹1,500,000.00 per year
Benefits:
Health insurance
Paid sick time
Paid time off
Provident Fund
Schedule:
Day shift
COVID-19 considerations:
Musk is necessary in the premises, Use sanitizer to keep your hands clean.
Ability to commute/relocate:
Thousand Lights, Chennai - 600002, Tamil Nadu: Reliably commute or planning to relocate before starting work (Required)
Experience:
total work: 3 years (Preferred)
Speak with the employer
+91 7010947442
Show Less
Report","₹12,50,000 /yr (est.)",1 to 50 Employees,Company - Private,Information Technology,Information Technology Support Services,2016,$25 to $50 million (USD)
280,Finarkein Analytics Pvt. Ltd.,Machine Learning Engineer,Pune,"We are looking for a passionate Machine Learning Engineer who will be responsible for adding machine learning based analytics features to our scalable SaaS products.
Job Details:
Job Title: Machine Learning Engineer
Experience Required: 2-6 years
Location: Baner, Pune / [Fully Remote]
Qualification: Bachelor’s degree in Computer Science, Engineering or related discipline
What we expect:
Design, build and evaluate data models and data mining techniques to address complex business use-cases and problems,
Define data requirements, collecting, labeling, inspecting, cleaning and moving data
Training machine learning models defining evaluation metrics, searching hyper-parameters, etc.
Convert prototyped code into production code, employ model deployment and management strategies
What you should have:
Good computer fundamentals
Experience with writing robust code in Python/R/Java
Good understanding of machine learning algorithms - Linear, boosting, clustering, probabilistic graphical models, etc.
Understanding of time series algorithms/techniques
hands on experience with libraries like scikit, spacy, nltk, matplotlib, etc.
Strong problem solving skill
What is good to have:
Good understanding of big-data eco-systems and apache spark
Understanding of deep learning fundamentals
Opportunity to:
Have a larger impact of your work on any projects you are working on
Work on Latest technologies
Work directly with founders
Perks:
Fully remote work
Competitive salary
Reimbursement for courses / certification
Health Insurance
Flexible Work Timings
Job Type: Full-time
Pay: ₹700,000.00 - ₹1,500,000.00 per year
Schedule:
Flexible shift
Experience:
Machine learning: 1 year (Preferred)
Python / R / Java: 1 year (Preferred)
Show Less
Report","₹11,00,000 /yr (est.)",#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
281,"Hitachi India Pvt, Ltd.
3.8",Data Scientist / AI-ML Engineer,Bangalore,"Description
Data Scientist / AI-ML Engineer
Duties and Responsibilities:
1. Research and Develop Innovative Solutions and Quantitative Models for positive impact on Hitachi’s business (e.g., Energy, Industry, Mobility, Smart Life and Financial Services).
2. Provide R&D support to Hitachi business units and group companies for commercialization of research prototypes. This includes Design, Implementation and Demonstration of Proof-of-Concept (PoC) and Working Proto-types,. Exploration of emerging tools, techniques, and technologies are expected.
3. Collaborate with cross-functional teams, eco-system partners and academia for business benefit.
4. Generate eminence via patents, publications, thought leadership, invited speakerships and conspicuous presence in forums of repute.
5. Add value to self through continuous learning and knowledge acquisition.
Requirements:
1. Academic Qualification: Bachelor’s degree in any discipline with strong quantitative flavor (e.g., STEM background like that in Science, Technology, Engineering and Management). Advanced qualifications like candidates with Master’s or Doctorate are welcome.
2. Strong Fundamentals: The candidate is required to build scientific models from first principles and hence need to have excellent understanding of basics in mathematics and statistics (e.g., differential equations, linear algebra, matrix, combinatorics, probability, Bayesian statistics, eigen vectors, Markov models, Fourier analysis). Understanding of basic principles of business analytics like statistical distributions, regression, segmentation, decision-science algorithms is mandatory. Understanding of working principles of neural networks and underlying algorithms (e.g., CNN, RNN, LSTM, back-propagation, loss-functions, gradient descent) is a “plus”.
3. Hands-on Programming: Good programming skills in any one of the following languages is mandatory: C / C++ / Java / Python / Matlab.
4. Communication: Ability to articulate key messages concisely and precisely.
5. Collaboration: Good inter-personal and teaming skills.
Special Preference:
Eminence: Patents, publications, thought leadership, invited speakership and conspicuous presence in refereed platforms or forums of repute.
Show Less
Report","₹3,41,776 /yr (est.)",10000+ Employees,Company - Public,Information Technology,Enterprise Software & Network Solutions,1910,$10+ billion (USD)
282,"Kmart
3.4",Data Scientist,Bangalore,"Brighter futures start here
Anko is the global capability centre for Kmart Group Australia, fuelling growth aspirations of iconic Australian retail brands Kmart, Target and Anko. Based in Bangalore, India, we strive to accelerate retail innovation by building competitive capabilities in Technology, Data Sciences and Business Services that enable our brands to deliver delightful experiences to our in-store and online customers
Join our team, choose your own path and work on projects that excite you.
What you’ll be doing

Basic understanding of Cloud (AWS, Azure, etc.).
Develop & maintain data science solutions to drive incremental value for the Kmart GroupHypotheses driven solutioning to data science problemsAnalyse and model structured/unstructured data using advanced statistical methodsCommunicate findings to internal teams to enable business
Interest in, understanding of, or experience with Design Thinking and Agile Development Methodologies.
Data Management Skills using SQL
Basic understanding of statistical alorithms and programming in a language such as R, Python, or SAS, SPSS, MATLAB

Desired qualification and work experience

Develop & maintain data science solutions to drive incremental value for the Kmart Group
Hypotheses driven solutioning to data science problems
Analyse and model structured/unstructured data using advanced statistical methods
Communicate findings to internal teams to enable business

Technical Skills

To be successful in this role you will require the following attributes:
Detail-oriented team player with strong interpersonal skills
Hypotheses driven solutioning
Inquisitivness balanced with commitment to timelines
Fluent in verbal and written communication(English)

A place you can belong

We celebrate the rich diversity of the communities in which we operate and are committed to creating inclusive and safe environments where all our team members can contribute and succeed. We believe that all team members should feel valued, respected, and safe irrespective of your gender, ethnicity, indigeneity, religious beliefs, education, age, disability, family responsibilities, sexual orientation and gender identity and we encourage applications from all candidates.
Show Less
Report","₹3,32,718 /yr (est.)",10000+ Employees,Subsidiary or Business Segment,Retail & Wholesale,General Merchandise & Superstores,1899,$5 to $10 billion (USD)
283,Innomatics Research Labs,Machine Learning and AI Trainer,Hyderābād,"Job description
Experience
Minimum 4+ Years of experience in machine learning & data analytics,AI.
Expert knowledge in Python, Statistics, Machine Learning, Artificial Neural Networks, Convolutional Neural Networks, Recurrent Neural Networks, and NLP.
Very good knowledge of Django/Flask, SQL, and TABLEAU is preferable.
Deployment on AWS/GCP/Azure is preferable.
Real-Time experience of working on Data Science (ML, DL & NLP) Projects is mandatory.
Methodical and Aggressive learner.
Roles & Responsibilities:
Should be willing to handle Offline & Online training sessions.
Deliver daily lectures and maintain high lecture rating
Identify the gaps in learning when working with students.
Design and develop engaging study material and content.
Good at managing the cross-team effort
Develop and deliver a complete end to end Data Science Projects
Job Types: Full-time, Part-time, Regular / Permanent, Freelance
Salary: Up to ₹1,200,000.00 per year
Schedule:
Morning shift
Ability to commute/relocate:
Nizampet X roads, Hyderabad - 500085, Telangana: Reliably commute or planning to relocate before starting work (Required)
Experience:
total work: 1 year (Preferred)
Job Types: Full-time, Part-time, Regular / Permanent, Freelance
Salary: Up to ₹1,200,000.00 per year
Schedule:
Morning shift
Ability to commute/relocate:
Hyderabad - 500085, Telangana: Reliably commute or planning to relocate before starting work (Required)
Experience:
total work: 1 year (Preferred)
Speak with the employer
+91 8008441993
Show Less
Report","₹12,00,000 /yr (est.)",#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
284,Webtunix AI,Data Scientist,India,"Expert level proficiency in SQL scripting for RDBMS and NoSQL DBs (especially MongoDB)
Tracking and insights on key metrics around User Journey, User Retention, Churn Modelling, and Prediction, etc.
Highly skilled in data structures and ML algorithms - ability to create efficient solutions to complex problems.
Experience of working on end-to-end data science pipeline: problem scoping, data gathering, EDA, modeling, insights, visualizations, monitoring, and maintenance.
Proficient in creating beautiful Tableau dashboards.
Problem-solving Ability to break the problem into small parts and apply relevant techniques to drive required outcomes.
Intermediate to advanced knowledge of machine learning, probability theory, statistics, and algorithms. You will be required to discuss and use various algorithms and approaches on a daily basis.
Proficient in at least a few of the following: regression, Bayesian methods, tree-based learners, SVM, RF, xgboost, time series modeling, GLM, GLMM, clustering, deep learning, etc. Good To Have
Experience in one of the upcoming technologies like deep learning, recommender systems, etc.
Experience of working in the Gaming domain
Marketing analytics, cross-sell, up-sell, campaign analytics, fraud detection
Experience in building and maintaining Data Warehouses in AWS will be a big plus
Job Type: Full-time
Schedule:
Flexible shift
Morning shift
Ability to commute/relocate:
Mohali, Sahibzada Ajit Singh Nagar - 160055, Punjab: Reliably commute or planning to relocate before starting work (Required)
Experience:
Data science: 1 year (Preferred)
Work Location: One location
Speak with the employer
+91 9872993778
Show Less
Report",#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
285,Flipped.ai,Machine Learning Engineer,Bangalore,"Title: Research associate position in the project Speech Recognition in Agriculture and Finance for the Poor in India
About the Project: Speech recognition in agriculture and finance for the poor is an initiative predominantly to create resources and make them available as a digital public good in the open source domain to spur research and innovation in speech recognition in nine different Indian languages in the area of agriculture and finance. Nine Indian languages considered for this project are Hindi, Bengali, Marathi, Telugu, Bhojpuri, Kannada, Magadhi, Chhattisgarhi, and Maithili. This project is funded by Bill and Melinda Gates Foundation.
Role: The research associate is expected to assist the project team in data validation, curation and speech recognition system development in Indian languages considered in this project.
Overall, the duties and responsibilities include the following:
State-of-the-art speech recognition model building separately for all Indian languages in this project
Scripting and programming for audio and text data cleaning
Implement automatic approaches to assist the project team in data validation
Assist the project team in experiments related to publications
Essential -
-A Masters or equivalent degree in Speech Technology, Computer Science, Signal Processing or other relevant area (A Bachelor degree holder with two years of experience can also apply)
-Have worked on deep learning previously with PyTorch/TensorFlow,
- Proficient in Matlab and/or Python and/or Bash scripting - Proficient in building scripts for the preprocessing of a large amount of data
- Experience with Model building with different ASR toolkits such as Kaldi, ESPnet, SpeechBrain etc
- Experience : Implementing and experimenting for research on ASR/Signal Representation and assessment.
Preferred
- Deployment of trained ASR models
- Coursework done in linear algebra, probability, signal processing, machine learning etc -
Familiar with speech processing
- Familiar with basics of Natural language processing and language modelling - Experience with deep learning on speech tasks
- Experience with deploying deep learning models
Job Type: Full-time
Salary: ₹800,000.00 - ₹1,200,000.00 per year
Schedule:
Day shift
Ability to commute/relocate:
Bengaluru, Bengaluru - 560012, Karnataka: Reliably commute or planning to relocate before starting work (Required)
Experience:
total work: 2 years (Preferred)
PyTorch/TensorFlow,: 1 year (Required)
Matlab and/or Python and/or Bash scripting: 1 year (Required)
ASR/Signal Representation: 1 year (Required)
Show Less
Report","₹10,00,000 /yr (est.)",#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
286,TheHive,Data Scientist,Remote,"Responsibilities:
 Undertaking data collection, preprocessing and analysis
 Building models to address business problems
 Presenting information using data visualization techniques
 Identify valuable data sources and automate collection processes
 Undertake preprocessing of structured and unstructured data
 Analyze large amounts of information to discover trends and patterns
 Build predictive models and machine-learning algorithms
 Combine models through ensemble modeling
 Present information using data visualization techniques
 Propose solutions and strategies to business challenges
 Collaborate with engineering and product development teams
Skills:
 Proven experience as a Data Scientist or Data Analyst
 Experience in data mining
 Understanding of machine-learning and operations research
 Knowledge of R, SQL and Python; familiarity with Scala, Java or C++ is an asset
 Experience using business intelligence tools (e.g. Tableau) and data frameworks (e.g. Hadoop)
 Analytical mind and business acumen
 Strong math skills (e.g. statistics, algebra)
 Problem-solving aptitude
 Excellent communication and presentation skills
 BSc/BA in Computer Science, Engineering or relevant field; graduate degree in Data Science or other quantitative field is preferred
Job Types: Full-time, Contractual / Temporary
Salary: ₹150,000.00 - ₹250,000.00 per month
Schedule:
Monday to Friday
Night shift
US shift
Show Less
Report","$2,00,000 /mo (est.)",#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
