company,job title,location,job description,salary estimate,company_size,company_type,company_sector,company_industry,company_founded,company_revenue,hourly,monthly,company_txt,age,python_yn,R_yn,spark,aws,excel
Hire Me Technology Limited,Computer Vision / Machine Learning Engineer (Remote),New Delhi,"We are looking for excellent Computer Vision engineers who can take initiatives, design, and develop advanced machine learning solutions, and deploy them directly to the given platform. A talented machine learning engineer with expertise in computer vision and can apply different kinds of machine learning models to a diverse range of exciting and impactful client projects especially human detection, face tracking and augmented reality with human face, and augmented reality in Indoor/Outdoor environment. To be successful in this role, you need a strong machine learning experience with Computer Vision background, experience in deploying models to the cloud such as AWS, solid software development skills and docker, a love of learning, and to collaborate well in multi-disciplinary teams.
A successful candidate will take pride in working with engineers, product managers and business partners to identity and solve the most challenging safety and integrity problems in the internet scale. Candidate will conduct research on deep learning for application processors and multimedia processors with applications such as computer vision, or image and video processing. Candidate will work as part of a team on the system design, implementation, and verification of algorithms for application processors and multimedia processors. As a member of the team, you will develop innovative and sophisticated solutions to some of the most complex strategic business challenges. You will need to exhibit strong communication and leadership skills, an ability to set priorities, and an execution focus in a dynamic environment.
⃟Lead to build the trust and safety machine learning production models.
⃟Work on image classifiers, face detection and tracking, augmented reality, object detectors, video understanding models, multi-modal classifiers, human behavior and expression classification, face identification, and eyes tracking, , etc.
⃟Work with engineering teams to implement model pipeline and deploy the services with training automation.
⃟Collaborate with product teams to define objectives and improve trust and safety strategy.
⃟Collaborate with data analysts to understand and find data patterns.
⃟MS/PhD degree with 2+ years' relevant experience.
⃟Hands on experience in one or more of the areas for still images and videos processes.
⃟Good programming skills in Python and similar languages, and a deep understanding of data structures and algorithms.
⃟Good communication and teamwork skills, be passionate about learning new techniques and taking on challenging problems.
⃟Experience with Cloud platforms such as AWS, Azure, Google Cloud Platform (GCP).
⃟Excellent problem solving and analytical skills
⃟Excellent communication and collaboration skills with strong verbal and written skills.
⃟Passion for delivering business impact
Good to have:
⃟Experience in trust and safety machine learning models.
⃟Publications in top conferences.
⃟Experience in using Deep Learning, Bandits, Probabilistic Graphical Models, or Reinforcement Learning in real applications.
⃟Experience and good understanding of the math behind machine learning classification and regression algorithms.
Job Types: Full-time, Regular / Permanent
Schedule:
Day shift
Morning shift
Experience:
Computer vision: 2 years (Preferred)
Show Less
Report","₹4,09,878 /yr (est.)",Unknown,Company - Public,-1,-1,-1,Unknown / Non-Applicable,0,0,Hire Me Technology Limited,-1,1,0,0,1,1
Centre For Translational Cancer Research -Prashanti Cancer Care Mission,Junior Data Scientist (Breast Cancer Clinical Data),Pune,"Job Description: Junior Data Scientist (Breast Cancer Clinical Data)
We at PCCM-CTCR are looking for the following candidate to join our Data Team to evolve the existing system and design the needed schema for research and medical-related data.
Responsibilities:
Knowledge of different information types and domains and aptitude to understand domains in the clinical field.
Some familiarity with GUI design and implementation and comfort with python is preferred.
Good communication skills and ability to work independently
Clinical Data entry, management and curation
Clinical Data record keeping
General project Administration and Reporting
Understanding and analysis of clinical metadata sheets.
You may also be required to contribute to various other verticals as needed.
Culture:
Applicant must own his/her work
Precision and diligence is a prerequisite
No compromise with our core values
The position is based in Pune city
This is a full time position
Work from home option is not available for this position.
6 days a week 10:00 am to 6:00 pm
Research Centre Profile:
Prashanti Cancer Care Mission, Pune has a growing Breast Cancer Research department. In a powerful model of public-private partnership, IISER Pune and Prashanti Cancer Care Mission established the Center for Translational Cancer Research (CTCR). CTCR aims to bring together clinicians and researchers to integrate breast cancer research, training, and education. This Centre is a first-of-its-kind initiative in India with world-class infrastructure and facilities for multidisciplinary training in translational cancer research. We anticipate that the activities of the Centre will have a direct positive impact on the national capacity for translational cancer research and, most importantly, on effective management of cancer in India. CTCR is the leading member in the formation of ICGA foundation. ICGA aims to build teams for multi-omics studies in Indian cancers. CTCR also has a valuable association with Persistent Systems and is initiated with a seed grant from Bajaj Auto
Job Type: Full-time
Salary: ₹25,000.00 - ₹35,000.00 per month
Benefits:
Health insurance
Schedule:
Day shift
COVID-19 considerations:
Yes
Application Question(s):
List experience or degree in Biological Sciences
Experience:
total work: 2 years (Required)
Show Less
Report","₹30,000 /mo (est.)",-1,-1,-1,-1,-1,-1,0,1,Centre For Translational Cancer Research -Prashanti Cancer Care Mission,-1,1,0,0,0,0
"EY
3.9",Manager - Business Consulting Risk - CS&A - Data Scientist - Mumbai,Mumbai,"Manager – Risk Advisory Services – Data Scientist

The opportunity

We are looking for a Data Scientist who will support our client's product, sales, finance, auditors, leadership and marketing teams with insights gained from analysing company data. The ideal candidate is adept at using large data sets to find opportunities for product and process optimization and using models to test the effectiveness of different courses of action. They must have strong experience using a variety of data mining/data analysis methods, using a variety of data tools, building and implementing models, using/creating algorithms and creating/running simulations. They must have a proven ability to drive business results with their data-based insights. They must be comfortable working with a wide range of stakeholders and functional teams. The right candidate will have a passion for discovering solutions hidden in large data sets and working with stakeholders to improve business outcomes.

Your key responsibilities

Work with stakeholders throughout the client organization to identify opportunities for leveraging company data to drive business solutions.
Mine and analyse data from company databases to drive optimization and improvement of product development, marketing techniques and business strategies.
Assess the effectiveness and accuracy of new data sources and data gathering techniques.
Develop custom data models and algorithms to apply to data sets.
Extract, analyse and interpret large amounts of data from a range of sources, using algorithmic, data mining, artificial intelligence, machine learning and statistical tools, to make it accessible to businesses
Test data mining models to select the most appropriate ones for use on a project
Develop company A/B testing framework and test model quality.
Conduct research from which you'll develop prototypes and proof of concepts
Coordinate with different functional teams to implement models and monitor outcomes.
Develop processes and tools to monitor and analyse model performance and data accuracy.
Maintain clear and coherent communication, both verbal and written, to understand data needs and report results

Skills and attributes for success

Five to Seven years of audit or compliance experience with a financial services firm is essential with a focus on regulatory compliance.
Working knowledge of the financial services regulatory environment with an emphasis on Compliance activities and broker/dealer rules and regulations
Strong communication, interpersonal skills and team skills;
Ability to work globally and across teams
Proven ability to manage projects.
Proficient understanding of the internal audit process;
Proven ability to collaborate within a team structure;
Proven ability to learn quickly and think critically;
Strong written and verbal communication skills;
Proven ability to work on multiple assignments, while meeting deadlines;
Able to work independently with multi-tasking

To qualify for the role you must have

Strong problem-solving skills with an emphasis on product development.
Experience using statistical computer languages (R, Python, SQL, etc.) to manipulate data and draw insights from large data sets.
Knowledge of a variety of machine learning techniques (clustering, decision tree learning, artificial neural networks, etc.) and their real-world advantages/drawbacks.
Knowledge of advanced statistical techniques and concepts (regression, properties of distributions, statistical tests, and proper usage, etc.) and experience with applications.
Excellent written and verbal communication skills for coordinating across teams.
A drive to learn and master new technologies and techniques.
We’re looking for someone with 8 years of experience manipulating data sets and building statistical models, has a Master’s or PHD in Statistics, Mathematics, Computer Science or another quantitative field, and is familiar with the following software/tools:
Coding knowledge and experience with several languages: Python, C++, Java
Knowledge and experience in statistical and data mining techniques: GLM/Regression, Random Forest, Boosting, Trees, text mining, social network analysis, Text Analytics, etc.
Experience querying databases and using statistical computer languages: R, Python, SQL, etc.
Experience using web services: AWS, Azure, GCP, etc.
Experience creating and using advanced machine learning algorithms and statistics: regression, simulation, scenario analysis, modelling, clustering, decision trees, neural networks, etc.
Experience analysing data from 3rd party providers: Google Analytics, Site Catalyst, Core metrics, AdWords, Crimson Hexagon, Facebook Insights, etc.
Experience with distributed data/computing tools: Map/Reduce, Hadoop, Hive, Spark, Gurobi, MySQL, etc.
Experience visualizing/presenting data for stakeholders using: Periscope, Business Objects, D3, ggplot, etc.

Ideally you’ll also have

Strong communication, facilitation, relationship-building, presentation and negotiation skills.
Be highly flexible, adaptable, and creative.
Comfortable interacting with senior executives (within the firm and at the client)
Strong leadership skills and supervisory responsibility.

What we look for

People with the ability to work in a collaborative way to provide services across multiple client departments while adhering to commercial and legal requirements. You will need a practical approach to solving issues and complex problems with the ability to deliver insightful and practical solutions.

What working at EY offers

EY is committed to being an inclusive employer and we are happy to consider flexible working arrangements. We strive to achieve the right balance for our people, enabling us to deliver excellent client service whilst allowing you to build your career without sacrificing your personal priorities. While our client-facing professionals can be required to travel regularly, and at times be based at client sites, our flexible working arrangements can help you to achieve a lifestyle balance.

About EY

As a global leader in assurance, tax, transaction and advisory services, we’re using the finance products, expertise and systems we’ve developed to build a better working world. That starts with a culture that believes in giving you the training, opportunities and creative freedom to make things better. Whenever you join, however long you stay, the exceptional EY experience lasts a lifetime. And with a commitment to hiring and developing the most passionate people, we’ll make our ambition to be the best employer by 2020 a reality.
Show Less
Report","₹6,87,533 /yr (est.)",Unknown,Unknown,-1,-1,-1,Unknown / Non-Applicable,0,0,EY,-1,1,0,1,1,1
"Nestsoft technologies
2.9",Python AI / ML (Online Trainer Part Time),Remote,"Online
Experience: 1 Years To 5 Years Salary : 10000- 25000 (Month) Part Time

Qualification Required: Any Graduate
Skills Required: Python, Machine Learning, Artificial Intelligence, Deep Learning, Data Science
Details: Wanted part time online trainer for Python, Machine Learning, Artificial Intelligence, Deep Learning, Data Science. While you are working as developer you can also work as trainer with us. It will get more income to your skills and experience. We need expert developers as trainer.. Please do not call/whatsapp to any of our company mobile(s). Apply through our website or by email to hr@nestsoft.com
Show Less
Report","$17,500 /mo (est.)",51 to 200 Employees,Company - Public,-1,-1,-1,Unknown / Non-Applicable,0,1,Nestsoft technologies,-1,1,0,0,0,0
"Samsung Electro-Mechanics
3.5",Machine Learning Engineer,Bangalore,"Job Responsibilities:
·Work with deep learning experts to design and implement networks optimized for GPU-accelerated inference
·Develop advanced inference engine techniques to enable real-time deployment of models
·Deploy productized networks to run efficiently on our hardware
·Develop tools for profiling, analyzing, and improving both training and inference performance
Experience:
A minimum of 2 years of relevant experience in a similar role
Qualification:
Bachelor of Engineering (BTECH / BE) or Masters (MTECH / MS / MCA ) in Computer Science / Information Science or Ph.D in Computer Science
Skills Required:
Essential
· Excellent in machine learning and deep learning concepts such as
· Data understanding and analysis
· Supervised/ Unsupervised/semi-supervised learning
· CNN for classification
· RNN for time series data analysis
· Object detection and classification
· Excellent C/C++ and Python programming and software design skills
· Intimate understanding and hands on experience of using computer vision and machine learning libraries such as Tensorflow, Caffe, Torch
· Proven GPU programming (e.g., CUDA, OpenCL) track record
Desirable
· Code contributions to an open-source deep learning community
· Experience using GPU-accelerated libraries (e.g., cuDNN and cuBLAS)
· Experience with code generation & optimization
· Experience with network model compression and quantization
· Exposure to TensorRT kinds of tool for DL implementation
Job Type: Full-time
Salary: From ₹100,000.00 per month
Benefits:
Flexible schedule
Health insurance
Internet reimbursement
Schedule:
Day shift
Supplemental pay types:
Joining bonus
Overtime pay
Performance bonus
Shift allowance
Yearly bonus
Experience:
total work: 3 years (Preferred)
Speak with the employer
+91 9148758311
Show Less
Report","₹1,00,000 /mo (est.)",1001 to 5000 Employees,Subsidiary or Business Segment,Information Technology,Computer Hardware Development,1938,$10+ billion (USD),0,1,Samsung Electro-Mechanics,84,1,0,0,0,1
"Hitachi India Pvt, Ltd.
3.8",Data Scientist / AI-ML Engineer,Bangalore,"Description
Data Scientist / AI-ML Engineer
Duties and Responsibilities:
1. Research and Develop Innovative Solutions and Quantitative Models for positive impact on Hitachi’s business (e.g., Energy, Industry, Mobility, Smart Life and Financial Services).
2. Provide R&D support to Hitachi business units and group companies for commercialization of research prototypes. This includes Design, Implementation and Demonstration of Proof-of-Concept (PoC) and Working Proto-types,. Exploration of emerging tools, techniques, and technologies are expected.
3. Collaborate with cross-functional teams, eco-system partners and academia for business benefit.
4. Generate eminence via patents, publications, thought leadership, invited speakerships and conspicuous presence in forums of repute.
5. Add value to self through continuous learning and knowledge acquisition.
Requirements:
1. Academic Qualification: Bachelor’s degree in any discipline with strong quantitative flavor (e.g., STEM background like that in Science, Technology, Engineering and Management). Advanced qualifications like candidates with Master’s or Doctorate are welcome.
2. Strong Fundamentals: The candidate is required to build scientific models from first principles and hence need to have excellent understanding of basics in mathematics and statistics (e.g., differential equations, linear algebra, matrix, combinatorics, probability, Bayesian statistics, eigen vectors, Markov models, Fourier analysis). Understanding of basic principles of business analytics like statistical distributions, regression, segmentation, decision-science algorithms is mandatory. Understanding of working principles of neural networks and underlying algorithms (e.g., CNN, RNN, LSTM, back-propagation, loss-functions, gradient descent) is a “plus”.
3. Hands-on Programming: Good programming skills in any one of the following languages is mandatory: C / C++ / Java / Python / Matlab.
4. Communication: Ability to articulate key messages concisely and precisely.
5. Collaboration: Good inter-personal and teaming skills.
Special Preference:
Eminence: Patents, publications, thought leadership, invited speakership and conspicuous presence in refereed platforms or forums of repute.
Show Less
Report","₹3,41,776 /yr (est.)",10000+ Employees,Company - Public,Information Technology,Enterprise Software & Network Solutions,1910,$10+ billion (USD),0,0,"Hitachi India Pvt, Ltd.",112,1,0,0,0,1
Innomatics Research Labs,Machine Learning and AI Trainer,Hyderābād,"Job description
Experience
Minimum 4+ Years of experience in machine learning & data analytics,AI.
Expert knowledge in Python, Statistics, Machine Learning, Artificial Neural Networks, Convolutional Neural Networks, Recurrent Neural Networks, and NLP.
Very good knowledge of Django/Flask, SQL, and TABLEAU is preferable.
Deployment on AWS/GCP/Azure is preferable.
Real-Time experience of working on Data Science (ML, DL & NLP) Projects is mandatory.
Methodical and Aggressive learner.
Roles & Responsibilities:
Should be willing to handle Offline & Online training sessions.
Deliver daily lectures and maintain high lecture rating
Identify the gaps in learning when working with students.
Design and develop engaging study material and content.
Good at managing the cross-team effort
Develop and deliver a complete end to end Data Science Projects
Job Types: Full-time, Part-time, Regular / Permanent, Freelance
Salary: Up to ₹1,200,000.00 per year
Schedule:
Morning shift
Ability to commute/relocate:
Nizampet X roads, Hyderabad - 500085, Telangana: Reliably commute or planning to relocate before starting work (Required)
Experience:
total work: 1 year (Preferred)
Job Types: Full-time, Part-time, Regular / Permanent, Freelance
Salary: Up to ₹1,200,000.00 per year
Schedule:
Morning shift
Ability to commute/relocate:
Hyderabad - 500085, Telangana: Reliably commute or planning to relocate before starting work (Required)
Experience:
total work: 1 year (Preferred)
Speak with the employer
+91 8008441993
Show Less
Report","₹12,00,000 /yr (est.)",-1,-1,-1,-1,-1,-1,0,0,Innomatics Research Labs,-1,1,0,0,1,0
Finarkein Analytics Pvt. Ltd.,Machine Learning Engineer,Pune,"We are looking for a passionate Machine Learning Engineer who will be responsible for adding machine learning based analytics features to our scalable SaaS products.
Job Details:
Job Title: Machine Learning Engineer
Experience Required: 2-6 years
Location: Baner, Pune / [Fully Remote]
Qualification: Bachelor’s degree in Computer Science, Engineering or related discipline
What we expect:
Design, build and evaluate data models and data mining techniques to address complex business use-cases and problems,
Define data requirements, collecting, labeling, inspecting, cleaning and moving data
Training machine learning models defining evaluation metrics, searching hyper-parameters, etc.
Convert prototyped code into production code, employ model deployment and management strategies
What you should have:
Good computer fundamentals
Experience with writing robust code in Python/R/Java
Good understanding of machine learning algorithms - Linear, boosting, clustering, probabilistic graphical models, etc.
Understanding of time series algorithms/techniques
hands on experience with libraries like scikit, spacy, nltk, matplotlib, etc.
Strong problem solving skill
What is good to have:
Good understanding of big-data eco-systems and apache spark
Understanding of deep learning fundamentals
Opportunity to:
Have a larger impact of your work on any projects you are working on
Work on Latest technologies
Work directly with founders
Perks:
Fully remote work
Competitive salary
Reimbursement for courses / certification
Health Insurance
Flexible Work Timings
Job Type: Full-time
Pay: ₹700,000.00 - ₹1,500,000.00 per year
Schedule:
Flexible shift
Experience:
Machine learning: 1 year (Preferred)
Python / R / Java: 1 year (Preferred)
Show Less
Report","₹11,00,000 /yr (est.)",-1,-1,-1,-1,-1,-1,0,0,Finarkein Analytics Pvt. Ltd.,-1,1,0,1,0,0
TheHive,Data Scientist,Remote,"Responsibilities:
 Undertaking data collection, preprocessing and analysis
 Building models to address business problems
 Presenting information using data visualization techniques
 Identify valuable data sources and automate collection processes
 Undertake preprocessing of structured and unstructured data
 Analyze large amounts of information to discover trends and patterns
 Build predictive models and machine-learning algorithms
 Combine models through ensemble modeling
 Present information using data visualization techniques
 Propose solutions and strategies to business challenges
 Collaborate with engineering and product development teams
Skills:
 Proven experience as a Data Scientist or Data Analyst
 Experience in data mining
 Understanding of machine-learning and operations research
 Knowledge of R, SQL and Python; familiarity with Scala, Java or C++ is an asset
 Experience using business intelligence tools (e.g. Tableau) and data frameworks (e.g. Hadoop)
 Analytical mind and business acumen
 Strong math skills (e.g. statistics, algebra)
 Problem-solving aptitude
 Excellent communication and presentation skills
 BSc/BA in Computer Science, Engineering or relevant field; graduate degree in Data Science or other quantitative field is preferred
Job Types: Full-time, Contractual / Temporary
Salary: ₹150,000.00 - ₹250,000.00 per month
Schedule:
Monday to Friday
Night shift
US shift
Show Less
Report","$2,00,000 /mo (est.)",-1,-1,-1,-1,-1,-1,0,1,TheHive,-1,1,0,0,0,1
Nustar technologies,Machine Learning Engineer,India,"JOB LOCATION - BHUBANESHWAR
EXPERIENCE - 4+ YEARS
Good communication skills
Good Interpersonal and collaboration skills.
Ability to work in a team
Demonstrated work experience in Machine Learning projects
Ability to write code in Python and Java/R
Knowledge of the basics of math, probability, statistics, and algorithms
Experience in working with ML frameworks like TensorFlow and Keras.
Experience in working with various ML libraries and packages like Scikit learn, Theano, Tensorflow, Matplotlib, Caffe, etc.
Good understanding and strong knowledge of algorithms and statistics
Knowledge of data modeling, software architecture, and data structure
Job Type: Full-time
Salary: ₹355,158.58 - ₹1,581,093.92 per year
Schedule:
Day shift
Ability to commute/relocate:
Bhubaneshwar - 750001, Odisha: Reliably commute or planning to relocate before starting work (Required)
Experience:
total work: 4 years (Preferred)
Show Less
Report","₹9,68,126 /yr (est.)",-1,-1,-1,-1,-1,-1,0,0,Nustar technologies,-1,1,0,0,0,0
"Larsen & Toubro Limited
3.5",Computer Vision/Artificial Intelligence,Chennai,"Smart World And CommunicationChennai Head Qrs.
Required Experience
3 - 5 Years
Posted On
16 Dec 2022
Skills
Knowledge & Posting Location
Minimum Qualification
B.TECH/B.E
Job Description
Responsibilities
Responsible for Implementing and testing architecture and specifications, to assure correctness and consistency with the algorithm
Research, design, develop and evaluate advanced image processing and computer vision algorithms for a real-time computer vision pipeline including but not limited to camera calibration, multi-object tracking, object detection and classification, segmentation, and multi-sensor fusion
Maintain and improve our existing in-house algorithms and models, including continuous evaluation, gap analysis, re-training and fine tuning.
Develop state of the art deep learning networks and architectures across data from multiple sensors; Tasks include training, evaluating, benchmarking and deployment into real-time pipelines
Optimize algorithm performance across a wide range of development platforms and embedded systems
Develop evaluation scripts to process large data and accurately measure algorithmic and end to end performance.
Stay abreast with new innovations and the latest technology trends and explore ways of leveraging these for improving the product in alignment with the business.
Design and Implementation of AI product roadmap along with AI engineering team.

Qualifications/Skills
Experience:
B. Tech / B.E in computer science or any other allied fields from premier institutions.
Advanced Degree preferably in applied mathematics, statistics, computer science, data science, electrical engineering, physics, or closely related field
Certification or expertise on at least one of the following platforms: Google Vision, AWS Rekognition, Azure Computer Vision/Face/Content Moderator, or Watson Visual Recognition
8 to 12 years of industry experience in machine learning/computer vision with at least 5 years of experience as a Computer vision architect.
Deep expertise in machine learning, deep learning, image processing, computer vision
Strong Python/C++ programming, familiarity with software development best practices, debugging/profiling.
Understanding of stereo / multi view geometric computer vision and classical computer vision for natural scene images
Extensive experience with OpenCV, PIL, and other image processing libraries
Expertise in computer vision or deep learning frameworks and libraries, e.g. PyTorch, OpenCV, Keras, TensorFlow, scikit-image, ONNX
Experience with quantitative modelling (design, development & implementation) using 3+ types of algorithms (e.g., YOLOv3, RetinaNet, Faster R-CNN)
Expertise in fields e.g. structured information extraction, object detection, action recognition, image segmentation, spatiotemporal modelling (hybrid CNN/RNN)
Experience with writing production level code
Familiarity with data science toolkit such as jupyter lab/notebooks, pandas, bash scripting, Linux environment
Preferable:
Experience and understanding of Smart Cities, Safety & Mobility domains.
Must have skills:
Strong knowledge of the state-of-the-art in computer vision algorithms and techniques with a solid understanding of underlying sensing technologies
Deep understanding of algorithms and workflows, in particular working with visual data
Solid understanding of state-of-the-art capabilities and design of sensing and compute architectures
Strong working knowledge in networking and other data-centre technologies
Strong problem solving and logical skills & A Go-getter kind of attitude
Show Less
Report","₹3,65,335 /yr (est.)",10000+ Employees,Company - Public,Information Technology,Information Technology Support Services,2014,$500 million to $1 billion (USD),0,0,Larsen & Toubro Limited,8,1,0,0,1,0
"Alphanet
4.4",Machine Learning Engineer,Mohali,"Machine Learning Engineer / Automation
WFH
Day Shift
Machine learning engineer who can code like a software programmer
BS, MS or PhD in a quantitative field (CS, Engineering, Physics, etc.)
Would ideally prefer a Software Engineering background with Quantitative experience.
ESSENTIAL SKILLS
Strong hands-on coding experience in Python.
Proficient in ML/DS frameworks including pandas, numpy, jupyter, etc. Familiar with OOP design and maintain good coding practice (unit testing, docsings, versioning, etc.)
Streamlining data processing pipeline with Airflow, Snowflake, AWS S3, etc.
GOOD TO HAVE
Experience in building any of these systems is a strong plus:
Interactive dashboard and/or data visualization with dash plotly, streamlit, react, etc.
Any other large, complex Python software
Basic understanding of data analytics and/or machine learning algorithms (e.g., neural networks, tree-based methods, unsupervised learning, etc) and statistics
Job Types: Full-time, Regular / Permanent
Salary: ₹1,500,000.00 - ₹3,000,000.00 per year
Benefits:
Health insurance
Schedule:
Evening shift
Flexible shift
Monday to Friday
Morning shift
Night shift
Supplemental pay types:
Joining bonus
Performance bonus
Show Less
Report","₹22,50,000 /yr (est.)",201 to 500 Employees,Company - Private,Information Technology,Information Technology Support Services,2001,$25 to $50 million (USD),0,0,Alphanet,21,1,0,0,1,0
"Mu Sigma | Mega Job-A-Thon
4.3",Trainee - Data Science,Bangalore,"Solving a problem can be as simple or as complicated as you make it to be. But the key to
solving a problem is Asking the right questions to enable the process of decision making.
This is where we come in we solve problems by bringing down the cost of asking questions.
Mu Sigma is one of the worlds largest Decision Sciences and Analytics firm. We help over
140 Fortune 500 clients, across 10 industry verticals, to institutionalize data-driven decision
making, and to harness Big Data. We provide our clients with a holistic ecosystem of
proprietary technology platforms, processes, and people. This ecosystem helps us scale the
use of our unique interdisciplinary approach of combining math, business, technology,
behavioral science and design thinking to operationalize Decision Science as opposed to Data
Science.
Our unique approach to problem solving using cross-industry expertise corroborates our
sustainable engagement model with our clients still further, making us one of the most
preferred analytics and Decision Sciences partners.
With over 3000 Decision Sciences professionals, we take pride in being a category and career
defining company. As we continue to scale, we are also looking at hiring the right talent
across various levels in our organization. Our unique talent management philosophy has
been critically acclaimed by the likes of Harvard Business Review.

Role & responsibilities:
Take actions to ensure healthy growth of the engagement with focus on high quality
delivery and client relationships
Collaborate with the client services team to assess and take decisions regarding the
health of the engagement
Work with your team to solve complex problems. Typically, these business problems
cannot be solved using a linear/single line of thought. Use first principle thinking,
coupled with basics of math and technology to arrive at a robust solution design,
while collaborating with the others in the team
Provide support for projects in areas ranging from: core data engineering, design
architecture, cloud capabilities to mathematical model building, evaluation, and
operational support
We have an open work culture, and we encourage sharing of ideas. You would see
yourself sharing ideas and participating in discussions with team members across
teams. You would be dealing with problems from team members, direct reports and
superiors from various backgrounds and experiences.
Collaborate with the various business functions in Mu Sigma, like Sales, Marketing,
Mu Sigma University, Talent Management and Delivery & Innovation, helping them
from your experiences in delivery, and learning their way of operating, in return
The workday stretches into late evenings and you would find yourself talking to the
client, presenting insights from work and engaging the clients in discussions around
growth and future pipeline development. You would have to work on defining this
pipeline and ensuring growth is driven by great delivery and satisfactory client
engagement
In short, a day would involve delivery be it brainstorming on a project, QCing codes
on Python/R/SAS or whatever technology it takes, preparing a deck for delivering
insights and growth, collaborating with the India Leadership to come up with new
ideas and solution design, driving client conversations centered around growth and
guiding team members across the lifecycle of the engagement
Skills & Competencies:
Possess strong analytical/logical thinking skills and clarity of thought to identify and solve business problems
Ability to learn complex businesses very quickly, define problems accurately while paying attention to detail in the solution
Good to have experience in Excel, VBA/Macros, SQL, SAS/R
Competency and interest in Business Technology, both academically and professionally, is preferred
Ability to extract and analyze data from multiple sources using analytical tools
Ability to manage and multi-task under tight deadlines
Strong interpersonal and communication skills
Demonstrated leadership within or outside a work setting. You should be someone who frequently takes initiative and is eager to break new ground
Preferable Qualities
Ready to take ownership of multiple applications
Ready to stretch beyond normal hours during build and high support activity times
Qualification
Graduated B.E/B.Tech any domain in 2019 / 2020/2021/2022 with aggregate of 7 CGPA
A minimum aggregate of 70% in class 10th and 12th
Show Less
Report","₹4,60,976 /yr (est.)",201 to 500 Employees,Company - Private,Education,Colleges & Universities,-1,Unknown / Non-Applicable,0,0,Mu Sigma | Mega Job-A-Thon,-1,1,0,0,0,1
AgEye Technologies,Computer Vision Engineer,Bangalore,"Job: Computer Vision Engineer
Position Type: Full-time – Permanent
Location: Bangalore, Karnataka (IN)
Key Responsibilities:
Working with the data science team to research, develop, evaluate and optimize various computer vision and deep learning models for different problems.
Explore and analyze unstructured data like images through image processing.
Take ownership to drive computer vision solutions and meet customer requirements.
Deploying developed computer vision models on edge devices after optimization to meet customer requirements and maintain them to later improve to address additional customer requirements in future.
Required Characteristics:
MSc or PhD in Computer Science, Data Science, Machine Learning or in related fields preferred but candidates with Bachelor’s degree in computer science are also welcome to apply provided they have a strong technical knowledge and experience in computer vision.
Understanding about depth and breadth of computer vision and deep learning algorithms.
At least 2 years of experience in computer vision and/or deep learning for object detection and tracking along with semantic or instance segmentation either in academic or industrial domain.
Experience with any machine/deep learning frameworks like Tensorflow, Keras and PyTorch.
Experience in training models through GPU computing using NVIDIA CUDA or on cloud.
Ability to transform research articles into the working solutions to solve real-world problems.
Strong experience in using both basic and advanced image processing algorithms for feature engineering.
Proficiency in Python and related packages like numpy, scikit-image, PIL, opencv, matplotlib, seaborn, etc.
Excellent written and verbal communication skills for effectively communicating with the team and ability to presenting information to varied technical and non-technical audience.
Must be able to produce solutions independently in an organized manner and also be able to work in a team when required.
Must have good Object-Oriented Programing & logical analysis skills in Python.
Preferred Characteristics (not mandatory to have all):
Strong foundation in data structures and algorithms in Python or C++
Advanced knowledge in performance, scalability, numerical accuracy and best practices for implementing various solutions.
Proficiency with edge computing principles and architecture preferably for NVIDIA Jetson devices and Raspberry Pi.
Experience in different model optimization techniques apart from hyperparameter tuning to reduce memory usage without hindering the performance for deploying on edge devices.
Proficiency with AWS or Azure cloud computing environments.
Exposure to IoT technology.
Experience in Agile Application Development and Scrum methodologies to develop efficient, maintainable, readable and production-ready pipelines.
Must have curiosity, eagerness and motivation to be involved in Data Science and Image Processing.
Job Type: Full-time
Salary: ₹400,000.00 - ₹1,500,000.00 per year
Benefits:
Flexible schedule
Health insurance
Life insurance
Paid sick time
Provident Fund
Schedule:
Day shift
Flexible shift
Monday to Friday
Speak with the employer
+91 9113072108
Show Less
Report","₹9,50,000 /yr (est.)",-1,-1,-1,-1,-1,-1,0,0,AgEye Technologies,-1,1,0,0,1,1
INTEGRATED SERVICES,Machine Learning Engineer,Bangalore,"We are looking for Machine Learning Engineer (Remote ) for our reputed client , details as folows
Prior Experience as Machine Learning Engineer or similar role
Understanding of Data Modelling and Data Structures and software architecture
Ability to write robust Python code
Familiarity wth Machine Learning Frameworks like Keras /Pytorch
Good Communication skill
Ability to work in a TEAM
Those who are interested to work on Part time basis can also apply
Job Type: Full-time
Salary: ₹1,200,000.00 - ₹3,000,000.00 per year
Schedule:
Flexible shift
Experience:
total work: 5 years (Required)
Speak with the employer
+91 9830895196
Show Less
Report","₹21,00,000 /yr (est.)",-1,-1,-1,-1,-1,-1,0,0,INTEGRATED SERVICES,-1,1,0,0,0,0
